Compound Score,Date,Negative Score,Neurtal Score,Positive Score,Tweet Text,Tweets Ago,Username
0.0,Tue Jul 31 05:25:52 +0000 2018,0.0,1.0,0.0,Andy Murray beats Mackenzie McDonald in Washington Open https://t.co/qqYsDkNXrJ,0,@BBCNews
-0.765,Tue Jul 31 05:16:07 +0000 2018,0.485,0.515,0.0,IS claims fatal Tajik attack on foreign cyclists https://t.co/2lKyjvwf11,0,@BBCNews
0.0,Tue Jul 31 03:48:56 +0000 2018,0.0,1.0,0.0,Lombok earthquake: 543 hikers evacuated from Mt Rinjani https://t.co/ceJLq1c6Y3,0,@BBCNews
-0.1431,Tue Jul 31 03:06:20 +0000 2018,0.064,0.936,0.0,RT @SallyBundockBBC: As the UK prepares to leave the EU how will this affect holidaymakers? What puts you off going abroad? Send your comme…,0,@BBCNews
0.0,Tue Jul 31 02:39:02 +0000 2018,0.0,1.0,0.0,"North Korea 'working on new missiles', US officials say https://t.co/6rKcNLDBKo",0,@BBCNews
-0.4215,Tue Jul 31 02:04:38 +0000 2018,0.237,0.763,0.0,Corrie Mckeague: Airman 'somewhere in Suffolk waste disposal system' https://t.co/MlWRfqjBvg,0,@BBCNews
-0.6808,Tue Jul 31 01:49:27 +0000 2018,0.384,0.616,0.0,Tom Watson accuses NEC member of being a 'loud mouthed bully' https://t.co/G2ecGupaHu,0,@BBCNews
0.0,Tue Jul 31 01:22:50 +0000 2018,0.0,1.0,0.0,Would you quote Rick Astley in your out-of-office? https://t.co/TWob9qKe8h,0,@BBCNews
-0.5859,Tue Jul 31 01:20:14 +0000 2018,0.226,0.774,0.0,England v India: Adil Rashid return 'a stab in the chest for county cricket' https://t.co/b7hSxAHK84,0,@BBCNews
-0.6908,Tue Jul 31 01:09:31 +0000 2018,0.402,0.598,0.0,UK man's rape conviction quashed in Sydney https://t.co/s0tgKoLw46,0,@BBCNews
0.0,Tue Jul 31 00:48:17 +0000 2018,0.0,1.0,0.0,In pictures: Behind the mask https://t.co/srsFQRz0da,0,@BBCNews
0.0,Tue Jul 31 00:37:54 +0000 2018,0.0,1.0,0.0,Women 'illegally buying abortion pill online' https://t.co/OAfddpLPOJ,0,@BBCNews
0.0,Tue Jul 31 00:22:55 +0000 2018,0.0,1.0,0.0,"Pupils unable to read is 'a scandal', says minister https://t.co/ng3nQZd61N",0,@BBCNews
-0.6369,Tue Jul 31 00:11:33 +0000 2018,0.344,0.656,0.0,"Sexual abuse 'endemic' in aid sector, say MPs https://t.co/eAEf02JI8B",0,@BBCNews
-0.6486,Mon Jul 30 23:15:51 +0000 2018,0.381,0.619,0.0,Tajikistan 'attack' leaves four foreign cyclists dead https://t.co/9PCue7xc88,0,@BBCNews
0.6369,Mon Jul 30 22:35:45 +0000 2018,0.0,0.656,0.344,Newspaper headlines: Love Island and the Manchester 'betrayal' https://t.co/fYAECjNWCE,0,@BBCNews
-0.1027,Mon Jul 30 22:05:18 +0000 2018,0.202,0.618,0.18,"Tuesday's Metro: ""Aid charities still shield sex abusers"" (via @AllieHBNews) #bbcpapers #tomorrowspaperstoday https://t.co/GVHgRDAzLG",0,@BBCNews
0.8402,Mon Jul 30 21:48:51 +0000 2018,0.0,0.529,0.471,Love Island: Dani Dyer and Jack Fincham win ITV2 series https://t.co/2bCcKGJrpV,0,@BBCNews
-0.6486,Mon Jul 30 21:48:34 +0000 2018,0.316,0.549,0.135,"Tuesday's Guardian: ""Aid charities failing to tackle endemic sexual abuse, say MPs"" (via @AllieHBNews) #bbcpapers… https://t.co/aVGdnjfCAk",0,@BBCNews
-0.6705,Mon Jul 30 21:48:31 +0000 2018,0.273,0.727,0.0,"Tuesday's Mirror: ""Fortnite made me a suicidal drug addict"" (via @AllieHBNews) #bbcpapers #tomorrowspaperstoday https://t.co/0jG7cofBXc",0,@BBCNews
-0.1027,Mon Jul 30 21:42:05 +0000 2018,0.097,0.903,0.0,"Tuesday's Times: ""UK warns Brussels of tit-for-tat over #Brexit"" (via @AllieHBNews) #bbcpapers #tomorrowspaperstoday https://t.co/ApGHWKxOIL",0,@BBCNews
-0.2732,Mon Jul 30 21:42:01 +0000 2018,0.13,0.87,0.0,"Tuesday's Telegraph: ""Rail boss: our trains are envy of Europe"" (via @AllieHBNews) #bbcpapers #tomorrowspaperstoday https://t.co/t2uS1sCtsv",0,@BBCNews
-0.5106,Mon Jul 30 21:41:55 +0000 2018,0.202,0.798,0.0,"Tuesday's Express: ""How dare he insult 17m #Brexit voters"" (via @AllieHBNews) #bbcpapers #tomorrowspaperstoday https://t.co/Qd3zGLPUGD",0,@BBCNews
0.34,Mon Jul 30 21:41:48 +0000 2018,0.0,0.833,0.167,"Tuesday's i: ""End-of-life ruling is welcomed by families"" (via @AllieHBNews) #bbcpapers #tomorrowspaperstoday https://t.co/qyourIBUKx",0,@BBCNews
0.2732,Mon Jul 30 21:41:40 +0000 2018,0.0,0.877,0.123,"Tuesday's FT: ""Barnier warms to May's #Brexit plan after clarification over City"" (via @AllieHBNews) #bbcpapers… https://t.co/zCmqZ0BO75",0,@BBCNews
-0.5574,Mon Jul 30 21:37:43 +0000 2018,0.265,0.735,0.0,James Gunn: Guardians of the Galaxy cast back fired director https://t.co/LobcR2ce9n,0,@BBCNews
-0.4215,Mon Jul 30 21:14:17 +0000 2018,0.318,0.682,0.0,Durex recalls condoms over split worries https://t.co/CM2ELjlgEp,0,@BBCNews
0.0,Mon Jul 30 20:43:11 +0000 2018,0.0,1.0,0.0,House of Fraser offered cash injection by Mike Ashley https://t.co/6wOTthfA6c,0,@BBCNews
0.3612,Mon Jul 30 19:55:17 +0000 2018,0.0,0.737,0.263,Trump says ready to meet Iran's Rouhani https://t.co/wVgHTepcXJ,0,@BBCNews
-0.802,Mon Jul 30 18:51:10 +0000 2018,0.506,0.494,0.0,Russia World Cup: Pussy Riot protesters detained on leaving jail https://t.co/Uz2cmL4Zzj,0,@BBCNews
-0.1779,Mon Jul 30 18:20:12 +0000 2018,0.333,0.388,0.279,Italy earthquake 'hero dog' found dead https://t.co/VLbC6Hb2LE,0,@BBCNews
-0.0516,Mon Jul 30 17:58:22 +0000 2018,0.13,0.87,0.0,EU piracy task force to leave UK post-Brexit https://t.co/CsgWWwjGlY,0,@BBCNews
0.0,Mon Jul 30 17:43:16 +0000 2018,0.0,1.0,0.0,RT @BBCWorld: Lionel Messi shows his 🐕 why he's the 🐐 https://t.co/UKTrKFiQTB,0,@BBCNews
0.0,Mon Jul 30 17:25:27 +0000 2018,0.0,1.0,0.0,England abortion pill rules 'out of step' https://t.co/1HUtQG2Crb,0,@BBCNews
0.5719,Mon Jul 30 17:20:12 +0000 2018,0.0,0.778,0.222,Geraint Thomas wins Tour de France: What does victory mean for Team Sky? https://t.co/u3xGhZxWX2,0,@BBCNews
-0.34,Mon Jul 30 16:59:34 +0000 2018,0.179,0.821,0.0,"Grenfell inquiry: 'My family are all dead', boy told fire officer https://t.co/eetlLvff5i",0,@BBCNews
0.0,Mon Jul 30 16:50:26 +0000 2018,0.0,1.0,0.0,Conservatives' #LoveIsland bottle promotion dropped https://t.co/vd1lCNIwZd,0,@BBCNews
0.0,Mon Jul 30 16:45:03 +0000 2018,0.0,1.0,0.0,"🤔 Where is #LoveIsland filmed?
🤔 How much do contestants earn?
🤔 Is the show staged?

Your most-searched… https://t.co/gM5gG4GQZH",0,@BBCNews
-0.4215,Mon Jul 30 16:31:22 +0000 2018,0.259,0.741,0.0,Ofcom halts local TV roll-out over finance worries https://t.co/QGTwIx1ugQ,0,@BBCNews
-0.8481,Mon Jul 30 16:25:54 +0000 2018,0.568,0.432,0.0,Forced marriage: Parents jailed in Leeds over forced marriage https://t.co/CfGPuAkECn,0,@BBCNews
0.4767,Mon Jul 30 16:18:23 +0000 2018,0.0,0.871,0.129,RT @danroan: What does Geraint Thomas’ Tour de France triumph mean for Team Sky and cycling after another year of controversy? https://t.co…,0,@BBCNews
-0.5106,Mon Jul 30 15:36:29 +0000 2018,0.163,0.837,0.0,"RT @bbcweather: Another low pressure system will arrive across the NW of the UK tomorrow, bringing wet and breezy weather to parts of Scotl…",0,@BBCNews
0.0,Mon Jul 30 14:48:36 +0000 2018,0.0,1.0,0.0,Scarlett Moffatt hits back at body shaming trolls https://t.co/w8uolerfLv,0,@BBCNews
0.0,Mon Jul 30 14:43:19 +0000 2018,0.0,1.0,0.0,Thread 🔻 https://t.co/rurP2c7XOK,0,@BBCNews
0.0,Mon Jul 30 14:32:26 +0000 2018,0.0,1.0,0.0,Are UK trains the 'envy' of Europe? https://t.co/0DaMrlTF6e,0,@BBCNews
0.0516,Mon Jul 30 14:27:18 +0000 2018,0.21,0.568,0.222,"Tyson Fury: Deontay Wilder deal almost done, says former world champion https://t.co/pFve4Up7Y3",0,@BBCNews
0.6808,Mon Jul 30 14:22:16 +0000 2018,0.0,0.763,0.237,"""The original team turned everything on its head... The key point was that the heroes were all kids"" #Beano80 

https://t.co/xKpcUTiOJO",0,@BBCNews
0.0,Mon Jul 30 13:54:46 +0000 2018,0.0,1.0,0.0,"As #LoveIsland ends...

What impact can appearing on reality TV have on your mental health? https://t.co/w4CryOsblK",0,@BBCNews
0.4019,Mon Jul 30 13:46:13 +0000 2018,0.0,0.891,0.109,RT @BBCRealityCheck: UK Foreign Secretary Jeremy Hunt is on an official visit to China to boost business between the two countries. How doe…,0,@BBCNews
0.25,Mon Jul 30 13:22:39 +0000 2018,0.0,0.818,0.182,"Meet the girls who dream of being Gurkhas

https://t.co/ZoG3dKjbcU https://t.co/RiPg6hZlAQ",0,@BBCNews
0.7506,Mon Jul 30 13:11:39 +0000 2018,0.0,0.439,0.561,Rivals eye Love Island's treasure trove https://t.co/bW1cWY57kO,0,@BBCNews
-0.7003,Mon Jul 30 13:04:11 +0000 2018,0.407,0.593,0.0,Modern slavery law review as gangs 'evolve' https://t.co/kGNjbdV3ql,0,@BBCNews
-0.3182,Mon Jul 30 12:50:07 +0000 2018,0.247,0.753,0.0,Canadian puddle splash van driver loses job https://t.co/OP0TOzfeQK,0,@BBCNews
-0.6249,Mon Jul 30 12:40:24 +0000 2018,0.406,0.594,0.0,Germany gripped by #MeTwo racism debate https://t.co/8GY0EfrVuF,0,@BBCNews
-0.8074,Mon Jul 30 12:38:46 +0000 2018,0.549,0.451,0.0,Wrestling world mourns death of three stars https://t.co/gAw4AutH35,0,@BBCNews
0.25,Mon Jul 30 12:35:14 +0000 2018,0.0,0.8,0.2,Giuliani: Trump lawyer's 'you' tweet sparks internet jokes https://t.co/SDhb0C1xSW,0,@BBCNews
-0.6908,Mon Jul 30 12:19:38 +0000 2018,0.388,0.612,0.0,France shocked by video of woman being slapped by harasser https://t.co/KbRzmskNv1,0,@BBCNews
-0.7184,Mon Jul 30 12:17:02 +0000 2018,0.462,0.538,0.0,Hapless finger-gun robber chased off from Paignton shops https://t.co/hZuLeEtKgj,0,@BBCNews
-0.7003,Mon Jul 30 12:14:17 +0000 2018,0.473,0.273,0.255,Man acquitted of rape loses Supreme Court criminal check case https://t.co/6tr2yj9OFl,0,@BBCNews
0.4939,Mon Jul 30 12:01:46 +0000 2018,0.0,0.802,0.198,"Emily Bronte: How she inspired Kate Bush, Sylvia Plath, Lily Cole and more https://t.co/LJq3xrGvlm",0,@BBCNews
0.4019,Mon Jul 30 11:44:57 +0000 2018,0.0,0.748,0.252,RT @BBCPolitics: Prime ministers and their holiday snaps https://t.co/vaGt8ZbOlS,0,@BBCNews
-0.7096,Mon Jul 30 11:25:07 +0000 2018,0.424,0.576,0.0,Why Jeremy Hunt's 'Japanese' wife gaffe is a bad mistake https://t.co/m0PRPiJRqf,0,@BBCNews
0.0,Mon Jul 30 11:00:00 +0000 2018,0.0,1.0,0.0,☂️☂️☂️☂️☂️☂️☂️☂️ https://t.co/eoYyqGj5eE,0,@BBCNews
-0.0516,Mon Jul 30 10:44:00 +0000 2018,0.13,0.87,0.0,Celebrity divorce lawyer backs reform of 'archaic' laws https://t.co/J2aW3gKA9r,0,@BBCNews
0.0,Mon Jul 30 10:41:20 +0000 2018,0.0,1.0,0.0,"RT @BBCSport: What a picture! Take a look at this one and some of our other favourite sporting photos of the week ⤵️

https://t.co/t71aWWjJ…",0,@BBCNews
0.0,Mon Jul 30 10:07:47 +0000 2018,0.0,1.0,0.0,RT @bbcweather: Typical British summer weather made a brief appearance at the weekend 😉 But the heat will resume in the south again this we…,0,@BBCNews
-0.2192,Mon Jul 30 09:33:19 +0000 2018,0.198,0.637,0.165,"RT @BBCBreaking: Doctors and families can agree to allow people in long-term vegetative states to die without legal application, UK Supreme…",0,@BBCNews
0.0,Mon Jul 30 09:32:25 +0000 2018,0.0,1.0,0.0,The companies that prey on aspiring models https://t.co/uwViCczCOF,0,@BBCNews
-0.2244,Mon Jul 30 08:39:00 +0000 2018,0.086,0.914,0.0,"""My wife is Japanese... my wife is Chinese, sorry!"" - UK Foreign Secretary Jeremy Hunt has an awkward moment as he… https://t.co/bZFR7V2KPK",0,@BBCNews
0.5994,Mon Jul 30 08:29:16 +0000 2018,0.0,0.813,0.187,"RT @BBCSport: Women's Super League club Liverpool Ladies have renamed themselves as Liverpool FC Women.

More: https://t.co/981ZPSVQ2t http…",0,@BBCNews
-0.7906,Mon Jul 30 08:04:26 +0000 2018,0.538,0.462,0.0,Birmingham police chase crash leaves woman dead https://t.co/AEBS43cejy,0,@BBCNews
-0.6808,Mon Jul 30 07:17:15 +0000 2018,0.217,0.735,0.048,"RT @BBCBenThompson: As one of Britain's largest travel firms stops selling tickets to marine parks that keep killer whales, we want to know…",0,@BBCNews
0.0,Mon Jul 30 07:12:43 +0000 2018,0.0,1.0,0.0,"RT @BBCr4today: It's the 80th anniversary of The Beano magazine which started in 1938, @Bobby_Seagull has a Beano themed #puzzlefortoday #r…",0,@BBCNews
0.6369,Mon Jul 30 07:11:15 +0000 2018,0.0,0.704,0.296,"The Beano: ""All our best ideas always come from kids"" https://t.co/x7sDqKT2hQ",0,@BBCNews
-0.3182,Mon Jul 30 07:09:22 +0000 2018,0.223,0.777,0.0,Mirror and Express owner slumps to £113m loss https://t.co/KHANd6pSZm,0,@BBCNews
-0.128,Mon Jul 30 06:24:24 +0000 2018,0.165,0.728,0.107,RT @bbcweather: Low pressure remains in control of our weather today bringing fairly breezy conditions with sunny spells and bands of showe…,0,@BBCNews
-0.5719,Mon Jul 30 05:45:48 +0000 2018,0.439,0.561,0.0,Assam: Four million risk losing India citizenship https://t.co/n35tx9twYJ,0,@BBCNews
0.0,Mon Jul 30 05:28:12 +0000 2018,0.0,1.0,0.0,News Daily: Out-of-hours GPs and Zimbabwe goes to the polls https://t.co/FdqsK7nWQU,0,@BBCNews
-0.4588,Mon Jul 30 05:07:28 +0000 2018,0.188,0.812,0.0,Formula 1: 'Lewis Hamilton shows he will take some beating as momentum turns' https://t.co/rgqpmcAwxR,0,@BBCNews
0.0,Mon Jul 30 03:30:00 +0000 2018,0.0,1.0,0.0,'Panicked' kangaroo smashes way into Australian home https://t.co/XKsZKGSCpn,0,@BBCNews
0.0,Mon Jul 30 03:22:15 +0000 2018,0.0,1.0,0.0,Call for UK citizen ID system after Brexit https://t.co/cUHOJWVnC3,0,@BBCNews
0.4696,Mon Jul 30 02:58:44 +0000 2018,0.0,0.873,0.127,RT @SallyBundockBBC: Could this type of holiday face extinction? Should it? Send us your comments #BBCTheBriefing - I'll see you at 05:00 B…,0,@BBCNews
-0.2023,Mon Jul 30 02:56:04 +0000 2018,0.205,0.795,0.0,Rebels at heart: The Beano at 80 https://t.co/5at9hDLSUc,0,@BBCNews
-0.5267,Mon Jul 30 02:51:10 +0000 2018,0.298,0.702,0.0,Lombok earthquake: Hikers trapped on mountain after landslides https://t.co/MDSZOCf53V,0,@BBCNews
0.0,Mon Jul 30 02:46:09 +0000 2018,0.0,1.0,0.0,Zimbabwe election: Voters set for first ballot without Mugabe https://t.co/bWhOhCQz4N,0,@BBCNews
0.5574,Mon Jul 30 02:43:55 +0000 2018,0.0,0.69,0.31,Supreme Court to rule on vegetative state case https://t.co/WyJIlm8dpF,0,@BBCNews
-0.1531,Mon Jul 30 02:38:47 +0000 2018,0.186,0.814,0.0,Millions miss out on seven-day GP access https://t.co/YSRBmmAX3K,0,@BBCNews
-0.4404,Mon Jul 30 02:12:26 +0000 2018,0.326,0.674,0.0,Why Donald Trump attacks the media https://t.co/kbGLfR5pYR,0,@BBCNews
0.5719,Mon Jul 30 02:09:45 +0000 2018,0.0,0.519,0.481,A stylishly affordable success story https://t.co/mVFPd1Zn5I,0,@BBCNews
0.0,Mon Jul 30 02:00:20 +0000 2018,0.0,1.0,0.0,Scottish League Cup: Three all-Premiership ties in second round draw https://t.co/xT2AUycpi8,0,@BBCNews
-0.5849,Mon Jul 30 01:48:52 +0000 2018,0.375,0.625,0.0,Northern: Most cancelled services to resume after timetable disruption https://t.co/47iVFeaMjc,0,@BBCNews
-0.2023,Mon Jul 30 00:07:50 +0000 2018,0.343,0.448,0.209,Novichok: Safety measures at victim Dawn Sturgess' funeral https://t.co/bdMIRBrfHh,0,@BBCNews
-0.34,Sun Jul 29 23:07:09 +0000 2018,0.255,0.745,0.0,California fire: Deadly blazes continues to grow https://t.co/RsRdk38eQX,0,@BBCNews
-0.8316,Sun Jul 29 22:54:30 +0000 2018,0.494,0.506,0.0,Newspaper headlines: 'Brexit food crisis fury' and 'Welsh wonder' https://t.co/2eA1TjPi5w,0,@BBCNews
-0.2263,Sun Jul 29 21:22:39 +0000 2018,0.147,0.853,0.0,French skier who disappeared in Italy in 1954 is finally identified https://t.co/ZJoDzFy5Fq,0,@BBCNews
0.6369,Sun Jul 29 20:38:41 +0000 2018,0.0,0.704,0.296,Love Island: Where is Jack from? And other questions answered https://t.co/DOBSVMuAcb,0,@BBCNews
-0.5859,Sun Jul 29 20:13:35 +0000 2018,0.348,0.652,0.0,BT loses TV rights for 'ultimate fighting' and NBA basketball https://t.co/l0YJellC52,0,@BBCNews
0.0,Sun Jul 29 19:56:00 +0000 2018,0.0,1.0,0.0,Women's World Cup: England beat Ireland to seal crossover phase place https://t.co/lHWHNfeCPk,0,@BBCNews
0.0,Sun Jul 29 18:06:21 +0000 2018,0.0,1.0,0.0,Tour de France: 'Geraint Thomas has tamed a race in which he appeared cursed' https://t.co/ljCYAIkErk,0,@BBCNews
-0.3612,Sun Jul 29 18:01:13 +0000 2018,0.238,0.762,0.0,Ethiopian dam engineer Simegnew Bekele's funeral draws thousands https://t.co/VVgdr839M8,0,@BBCNews
-0.5423,Tue Jul 31 05:33:03 +0000 2018,0.36,0.64,0.0,Superintendent accused of defecating on school track resigns https://t.co/20rG9z7WKD https://t.co/NcKbCFEhT9,0,@CBSNews
0.5267,Tue Jul 31 05:18:04 +0000 2018,0.0,0.673,0.327,"Animal lovers decry ""pet leasing"" contracts https://t.co/zwxRi2O2xP https://t.co/Pa6QFV5Ll5",0,@CBSNews
0.0,Tue Jul 31 05:10:06 +0000 2018,0.0,1.0,0.0,"Publix says dogs aren't allowed in store shopping carts, including service animals https://t.co/EtkiS01zhI https://t.co/KwdDlaDDWz",0,@CBSNews
0.1027,Tue Jul 31 05:03:03 +0000 2018,0.154,0.662,0.184,Renting versus buying: Advantages of buying at a six-year low https://t.co/UhyQCZU4vN https://t.co/WYUveOs7VA,0,@CBSNews
0.0,Tue Jul 31 04:48:04 +0000 2018,0.0,1.0,0.0,"Roy Moore takes ""pedophile detection"" test on ""Who is America?"" https://t.co/wE5Ew3fIAO https://t.co/Mk0Av4C33N",0,@CBSNews
-0.7783,Tue Jul 31 04:33:03 +0000 2018,0.438,0.562,0.0,Prosecutor: No charges for Minneapolis officers in black man's fatal shooting https://t.co/m5MG9PRoZa https://t.co/oKvi4ZVfMk,0,@CBSNews
-0.7717,Tue Jul 31 04:18:04 +0000 2018,0.391,0.609,0.0,"Man who lost wife, great-grandchildren in Carr Fire recalls their heartbreaking final words https://t.co/yQkwJpFb0Q https://t.co/jLt3iWeIId",0,@CBSNews
0.0,Tue Jul 31 04:03:04 +0000 2018,0.126,0.748,0.126,Young horn shark stolen from aquarium in Texas safely returned after man allegedly tried to sell the creature on Fa… https://t.co/vimjwo4xoI,0,@CBSNews
0.0,Tue Jul 31 03:54:05 +0000 2018,0.126,0.748,0.126,Young horn shark stolen from aquarium in Texas safely returned after man allegedly tried to sell the creature on Fa… https://t.co/FFL2jDKIRj,0,@CBSNews
-0.296,Tue Jul 31 03:48:04 +0000 2018,0.155,0.845,0.0,New details emerge in case of missing University of Iowa student https://t.co/8yBOCZ8Avf https://t.co/tyNK0u9WqG,0,@CBSNews
0.0,Tue Jul 31 03:33:03 +0000 2018,0.0,1.0,0.0,How do you get hookworms? Teen's infection raises questions https://t.co/cdXUpdIjyd https://t.co/dadE368uLS,0,@CBSNews
-0.8271,Tue Jul 31 03:18:05 +0000 2018,0.435,0.565,0.0,Cruise ship guards' killing of polar bear sparks international outrage https://t.co/q3mzshFf6l https://t.co/Yb5mABXOVn,0,@CBSNews
0.4939,Tue Jul 31 03:03:04 +0000 2018,0.0,0.738,0.262,Commentary: Could Democrat James Carville save the GOP? https://t.co/hgkb9dn21d https://t.co/BPghMQYW6p,0,@CBSNews
0.6597,Tue Jul 31 02:39:58 +0000 2018,0.102,0.586,0.312,WATCH: Adorable 2-year-old girl is trying to help firefighters keep their energy up as they battle California blaze… https://t.co/NZiIsZvYWY,0,@CBSNews
